"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"AIRCO PLATING CO.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","MIAMI","MIAMI-DADE","FL","12086","FLD004145140",42.47,"100 year zone","1.5 meter rise",0,1980-08-01,1990-02-21,NA,17561,5582,21336,42083,0.54,0.29,0.27,0.04,0,0.72,926,3428,25.8152,-80.2559
"B&B CHEMICAL CO., INC.","Manufacturing/Processing/Maintenance","Chemicals and allied products","HIALEAH","MIAMI-DADE","FL","12086","FLD004574190",35.35,"100 year zone","1.5 meter rise",1,1985-10-10,1990-08-30,NA,23546,8212,14703,70625,0.67,0.3,0.03,0.07,0,0.9,1134,4100,25.83958,-80.30013
"STAUFFER CHEMICAL CO. (TARPON SPRINGS)","Manufacturing/Processing/Maintenance","Primary metals/mineral processing","TARPON SPRINGS","PINELLAS","FL","12103","FLD010596013",70.71,"100 year zone","1 meter rise",1,1984-12-01,1994-05-31,NA,3389,1718,42407,60306,0.26,0.13,0.05,0.81,0.05,0.08,121,532,28.16666,-82.77569
"ANACONDA ALUMINUM CO./MILGO ELECTRONICS CORP.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","MIAMI","MIAMI-DADE","FL","12086","FLD020536538",31.03,"100 year zone","1.5 meter rise",0,1980-09-01,1990-08-30,1998-07-09,17041,5120,14868,36908,0.39,0.26,0.21,0.02,0,0.8,832,3076,25.84306,-80.25653
"PEPPER STEEL & ALLOYS, INC.","Recycling","Multiple","MEDLEY","MIAMI-DADE","FL","12086","FLD032544587",32.11,"100 year zone","1.5 meter rise",0,1980-02-01,1984-09-21,NA,15990,4338,18250,58953,0.31,0.17,0.02,0.03,0,0.96,745,2900,25.87361,-80.35333
"KERR-MCGEE CHEMICAL CORP - JACKSONVILLE","Manufacturing/Processing/Maintenance","Chemicals and allied products","JACKSONVILLE","DUVAL","FL","12031","FLD039049101",70.71,"Not in flood zone","1.5 meter rise",NA,1981-06-01,2010-03-04,NA,3940,1974,19056,30573,0.56,0.42,0.71,0.24,0,0.03,313,1043,30.3442,-81.6265
"WILSON CONCEPTS OF FLORIDA, INC.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","POMPANO BEACH","BROWARD","FL","12011","FLD041184383",37.93,"100 year zone","1.5 meter rise",0,1985-08-01,1989-03-31,1995-04-04,14048,7107,19299,51806,0.58,0.28,0.22,0.4,0.01,0.34,995,2800,26.21867,-80.14276
"ZELLWOOD GROUND WATER CONTAMINATION","Recycling","Drums/tanks","ZELLWOOD","ORANGE","FL","12095","FLD049985302",51.91,"100 year zone","Not in sea level rise area",1,1980-11-01,1983-09-08,NA,540,249,41883,57500,0.15,0.19,0.1,0.62,0.02,0.23,23,105,28.73195,-81.61333
"HELENA CHEMICAL CO. (TAMPA PLANT)","Manufacturing/Processing/Maintenance","Chemicals and allied products","TAMPA","HILLSBOROUGH","FL","12057","FLD053502696",30.19,"Not in flood zone","1 meter rise",0,1980-08-01,1992-10-14,NA,3033,1044,15060,46457,0.56,0.35,0.35,0.39,0.01,0.25,214,683,27.96393,-82.37481
"SCHUYLKILL METALS CORP.","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","PLANT CITY","HILLSBOROUGH","FL","12057","FLD062794003",59.16,"100 year zone","Not in sea level rise area",0,1980-05-01,1983-09-08,2001-08-22,7611,2908,36293,54063,0.51,0.22,0.14,0.45,0.02,0.38,506,2203,28.01083,-82.14306
